City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
149,Roura,GF,76.96,overcast clouds,4.7263,-52.3274,Amazonie Découverte SARL
150,Candelaria,PH,81.39,overcast clouds,13.9311,121.4233,Casa de Provincia
151,Upington,ZA,71.98,clear sky,-28.4478,21.2561,River Place Manor
155,Cajaruro,PE,72.91,light rain,-5.7364,-78.4256,Hotel Kuelap
157,Nishihara,JP,73.06,overcast clouds,26.1842,127.7558,Minshuku Agaihama
159,Lorengau,PG,83.25,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
161,Sibolga,ID,77.85,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
164,Galle,LK,80.74,overcast clouds,6.0367,80.217,Amangalla
169,Fuerte Olimpo,PY,77.56,clear sky,-21.0415,-57.8738,Hospedaje DAMI
170,Tabou,CI,77.43,clear sky,4.423,-7.3528,hotêl doufoulougou
172,Sarangani,PH,81.88,overcast clouds,5.4033,125.4636,Ballistic Islet
