City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
182,Souillac,MU,2022-02-11 00:16:52,-20.5167,57.5167,75.58,94,40,3.44
183,Mwinilunga,ZM,2022-02-11 00:16:52,-11.7358,24.4293,61.05,96,98,1.88
184,Bambous Virieux,MU,2022-02-11 00:16:53,-20.3428,57.7575,75.45,94,40,3.44
185,Palm Valley,US,2022-02-11 00:16:53,30.1775,-81.3876,60.06,66,48,7.25
186,Leningradskiy,RU,2022-02-11 00:16:53,69.3833,178.4167,-18.94,97,98,2.71
187,Namatanai,PG,2022-02-11 00:09:59,-3.6667,152.4333,83.75,71,96,5.37
188,Hualmay,PE,2022-02-11 00:16:54,-11.0964,-77.6139,71.28,77,79,7.27
189,Ostrovnoy,RU,2022-02-11 00:07:21,68.0531,39.5131,27.07,86,100,20.04
190,Eloy,US,2022-02-11 00:16:54,32.7559,-111.5548,79.52,18,0,6.6
191,Tuatapere,NZ,2022-02-11 00:16:55,-46.1333,167.6833,62.82,72,88,8.99
192,Kushiro,JP,2022-02-11 00:16:55,42.975,144.3747,20.35,73,20,3.44
193,Vanimo,PG,2022-02-11 00:16:55,-2.6741,141.3028,81.43,80,99,1.52
194,Elyria,US,2022-02-11 00:16:56,41.3684,-82.1077,35.19,75,100,10.36
195,San Lawrenz,MT,2022-02-11 00:16:56,36.0553,14.204,45.81,73,0,6.71
196,Sandur,IN,2022-02-11 00:16:57,15.1,76.55,66.25,60,4,7.27
197,Inuvik,CA,2022-02-11 00:16:58,68.3499,-133.7218,-13.94,76,100,4.61
198,Kaoma,ZM,2022-02-11 00:16:58,-14.7833,24.8,64.76,93,100,0.67
199,Pundaguitan,PH,2022-02-11 00:16:58,6.3711,126.1689,80.53,82,99,11.23
200,Shorewood,US,2022-02-11 00:16:59,41.52,-88.2017,28.58,82,100,5.75
201,Takapau,NZ,2022-02-11 00:16:59,-40.0333,176.35,74.44,79,100,1.45
202,Maniitsoq,GL,2022-02-11 00:16:59,65.4167,-52.9,18.57,90,100,14.07
203,Margate,GB,2022-02-11 00:17:00,51.3813,1.3862,40.69,75,19,7.0
204,Turka,UA,2022-02-11 00:17:00,49.1541,23.0297,38.8,92,92,8.23
205,Mount Gambier,AU,2022-02-11 00:17:01,-37.8333,140.7667,65.41,58,84,11.1
206,Chapada Dos Guimaraes,BR,2022-02-11 00:17:01,-15.4606,-55.7497,73.06,94,99,4.76
207,Biak,ID,2022-02-11 00:17:02,-0.9131,122.8766,78.55,79,87,2.8
208,Walvis Bay,NA,2022-02-11 00:17:02,-22.9575,14.5053,70.75,83,33,6.91
209,Fortuna,US,2022-02-11 00:17:02,40.5982,-124.1573,76.19,47,20,6.91
210,San Vicente,AR,2022-02-11 00:17:03,-26.6167,-54.1333,70.45,65,31,3.4
211,Moussoro,TD,2022-02-11 00:17:03,13.6408,16.4901,62.28,21,12,13.44
212,Beira,MZ,2022-02-11 00:17:04,-19.8436,34.8389,76.3,79,45,3.76
213,Arcangel,PH,2022-02-11 00:17:04,11.5395,122.3455,76.91,89,96,5.55
214,Alofi,NU,2022-02-11 00:17:04,-19.0595,-169.9187,85.89,66,40,11.5
215,Saint Anthony,US,2022-02-11 00:17:05,45.0205,-93.218,35.92,89,100,19.57
216,Yar-Sale,RU,2022-02-11 00:17:05,66.8333,70.8333,7.21,89,96,18.12
217,Haines Junction,CA,2022-02-11 00:17:06,60.7522,-137.5108,24.75,39,27,12.66
218,Nanyang,CN,2022-02-11 00:17:06,32.9947,112.5328,39.54,67,99,5.14
219,Tiksi,RU,2022-02-11 00:17:06,71.6872,128.8694,-9.8,92,100,14.18
220,Itarema,BR,2022-02-11 00:17:07,-2.9248,-39.9167,78.57,76,52,8.32
221,Port-Gentil,GA,2022-02-11 00:17:07,-0.7193,8.7815,80.65,82,81,10.33
222,Hithadhoo,MV,2022-02-11 00:17:08,-0.6,73.0833,81.01,71,91,5.73
223,Moyobamba,PE,2022-02-11 00:17:08,-6.05,-76.9667,67.37,98,76,0.43
224,Whitefish,US,2022-02-11 00:16:12,48.4111,-114.3376,53.35,28,0,2.15
225,Katsuura,JP,2022-02-11 00:17:09,35.1333,140.3,43.2,80,100,19.17
226,Batemans Bay,AU,2022-02-11 00:17:09,-35.7167,150.1833,72.19,76,99,8.77
227,Codrington,AU,2022-02-11 00:18:10,-38.2667,141.9667,64.56,58,71,16.24
228,Dire Dawa,ET,2022-02-11 00:18:10,9.5931,41.8661,62.92,58,1,3.44
229,Tenkodogo,BF,2022-02-11 00:18:10,11.78,-0.3697,77.31,12,0,9.19
230,Sokoni,TZ,2022-02-11 00:18:11,-6.4333,39.55,80.35,77,100,11.65
231,Umm Lajj,SA,2022-02-11 00:17:20,25.0213,37.2685,61.18,58,0,9.91
232,Clyde,US,2022-02-11 00:13:33,41.3042,-82.9752,33.55,84,82,11.32
233,Beloha,MG,2022-02-11 00:18:11,-25.1667,45.05,72.82,92,60,9.51
234,Hami,CN,2022-02-11 00:18:12,42.8,93.45,25.02,64,96,6.89
235,Bluff,NZ,2022-02-11 00:18:12,-46.6,168.3333,62.8,78,63,11.1
236,Bengkulu,ID,2022-02-11 00:18:13,-3.8004,102.2655,74.52,77,91,3.85
237,Berdigestyakh,RU,2022-02-11 00:18:13,62.0989,126.6992,-36.44,100,56,2.28
238,Vestmannaeyjar,IS,2022-02-11 00:18:14,63.4427,-20.2734,36.46,63,100,11.77
239,Isangel,VU,2022-02-11 00:07:43,-19.55,169.2667,81.57,88,100,21.36
240,Trapani,IT,2022-02-11 00:18:14,37.8333,12.6667,51.28,93,0,8.05
241,Bathsheba,BB,2022-02-11 00:11:14,13.2167,-59.5167,77.61,69,40,19.57
242,Lebedinyy,RU,2022-02-11 00:18:15,58.5167,125.5167,-29.45,99,100,3.06
243,Barmer,IN,2022-02-11 00:18:15,25.75,71.3833,57.96,36,0,5.68
244,Sindor,RU,2022-02-11 00:18:16,62.8629,51.8905,21.52,94,100,9.64
245,Batagay,RU,2022-02-11 00:18:16,67.6333,134.6333,-33.27,98,100,0.74
246,Kondoa,TZ,2022-02-11 00:18:16,-4.9,35.7833,60.6,93,77,2.33
247,Ratnagiri,IN,2022-02-11 00:18:17,16.9833,73.3,71.04,57,8,5.17
248,Fort Frances,CA,2022-02-11 00:15:37,48.5999,-93.4003,20.16,79,100,6.91
249,Saint-Georges,GD,2022-02-11 00:18:17,12.0564,-61.7485,78.48,73,20,18.41
250,Thompson,CA,2022-02-11 00:17:08,55.7435,-97.8558,-10.73,93,100,13.02
251,Kijang,KR,2022-02-11 00:18:19,35.2442,129.2139,35.33,41,29,4.45
252,Novyy Urgal,RU,2022-02-11 00:18:19,51.0736,132.5642,-0.13,97,99,1.03
253,Iracoubo,GF,2022-02-11 00:18:19,5.4802,-53.2011,76.78,85,68,11.68
254,Goderich,CA,2022-02-11 00:18:20,43.7501,-81.7165,30.52,69,100,12.66
255,Matay,EG,2022-02-11 00:18:20,28.419,30.7792,50.79,59,46,6.89
256,Kudahuvadhoo,MV,2022-02-11 00:18:21,2.6708,72.8944,80.82,75,61,9.8
257,Richards Bay,ZA,2022-02-11 00:18:21,-28.783,32.0377,70.74,89,5,4.59
258,Deception Bay,AU,2022-02-11 00:17:04,-27.2,153.0333,84.22,49,0,10.92
259,Lhokseumawe,ID,2022-02-11 00:18:22,5.1801,97.1507,75.29,85,99,4.14
