City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Saint-Pierre,RE,-21.3393,55.4781,78.48,69,100,3.44,overcast clouds
275,Fortuna,US,40.5982,-124.1573,53.1,83,98,2.48,overcast clouds
276,Anloga,GH,5.7947,0.8973,82.62,85,33,8.34,scattered clouds
277,Anadyr,RU,64.75,177.4833,-34.01,73,20,13.42,mist
278,Bonavista,CA,48.6499,-53.1147,35.11,75,8,16.04,clear sky
279,Antofagasta,CL,-23.65,-70.4,65.48,78,8,4.97,clear sky
280,Kamenka,RU,51.3223,42.7678,29.75,95,100,4.92,overcast clouds
281,Porto Novo,BJ,6.4965,2.6036,82.22,92,6,3.85,clear sky
282,Constitucion,CL,-35.3333,-72.4167,61.36,50,0,5.41,clear sky
283,Kiruna,SE,67.8557,20.2251,4.12,85,20,11.5,few clouds
284,Klaksvik,FO,62.2266,-6.589,40.12,95,100,28.3,overcast clouds
285,Kununurra,AU,-15.7667,128.7333,87.78,62,6,5.75,clear sky
286,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.72,98,100,0.49,overcast clouds
287,Johi,PK,26.6921,67.6133,66.94,29,0,4.0,clear sky
288,Cidreira,BR,-30.1811,-50.2056,73.92,84,0,18.54,clear sky
289,La Libertad,EC,-2.2333,-80.9,75.4,76,21,9.19,few clouds
290,Binzhou,CN,37.3667,118.0167,47.97,43,99,3.58,overcast clouds
291,Yar-Sale,RU,66.8333,70.8333,-2.4,82,100,16.51,overcast clouds
292,Dire,ML,12.2833,-10.9667,68.95,15,7,1.23,clear sky
293,Ada,US,43.4166,-116.1262,40.55,63,0,4.61,clear sky
294,Egvekinot,RU,66.3167,-179.1667,-20.76,87,10,8.55,clear sky
295,Xining,CN,36.6167,101.7667,22.23,73,99,1.52,overcast clouds
296,Alsfeld,DE,50.75,9.2667,31.37,94,6,2.64,clear sky
297,Ramhormoz,IR,31.28,49.6035,57.27,85,0,6.91,clear sky
298,Carutapera,BR,-1.195,-46.02,76.03,92,95,6.22,overcast clouds
299,The Pas,CA,53.8251,-101.2541,-16.58,63,100,3.44,overcast clouds
300,Ulaangom,MN,49.9811,92.0667,-21.64,97,98,2.39,overcast clouds
301,Vizinga,RU,61.0749,50.1031,14.49,97,98,4.23,overcast clouds
302,Arroio Grande,BR,-32.2375,-53.0869,71.28,88,38,9.69,scattered clouds
303,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,70.34,99,100,7.16,light rain
304,Oliveira Dos Brejinhos,BR,-12.3169,-42.8961,74.17,64,80,2.19,broken clouds
305,Moron,AR,-34.6534,-58.6198,60.69,92,100,11.5,light rain
306,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.64,94,100,7.54,light rain
307,Knysna,ZA,-34.0363,23.0471,64.78,69,0,2.53,clear sky
308,Te Anau,NZ,-45.4167,167.7167,63.64,47,98,7.27,overcast clouds
309,Salalah,OM,17.0151,54.0924,69.89,73,40,5.75,scattered clouds
310,Awjilah,LY,29.1081,21.2869,49.84,57,0,6.26,clear sky
311,Namibe,AO,-15.1961,12.1522,75.61,82,100,2.89,overcast clouds
312,Raton,US,36.9034,-104.4391,29.01,71,100,18.41,overcast clouds
313,Payson,US,40.0444,-111.7321,42.55,58,40,4.61,scattered clouds
314,Smithers,CA,54.7804,-127.1743,26.92,80,40,0.0,scattered clouds
315,Adrar,MR,20.5022,-10.0711,58.03,23,61,9.69,broken clouds
316,Slave Lake,CA,55.2834,-114.769,22.98,58,100,3.44,overcast clouds
317,Staunton,US,38.1496,-79.0717,55.49,40,0,6.91,clear sky
318,Stege,DK,54.987,12.2846,34.05,79,4,13.49,clear sky
319,Rundu,NA,-17.9333,19.7667,66.45,89,100,5.57,light rain
320,Trat,TH,12.5,102.5,85.24,65,97,5.08,overcast clouds
321,Baiyin,CN,36.5583,104.2081,29.28,66,100,7.52,overcast clouds
322,Madoc,CA,44.5084,-77.4745,35.92,98,100,8.95,light snow
323,Husavik,IS,66.0449,-17.3389,19.31,83,98,8.23,overcast clouds
324,Kutum,SD,14.2,24.6667,50.14,24,9,5.37,clear sky
325,Touros,BR,-5.1989,-35.4608,79.7,81,89,9.64,overcast clouds
326,Grootfontein,NA,-19.5667,18.1167,63.54,89,72,4.76,light rain
327,Tiksi,RU,71.6872,128.8694,-9.63,92,87,17.52,overcast clouds
328,Buala,SB,-8.145,159.5921,77.54,90,100,7.65,light rain
329,Henties Bay,NA,-22.116,14.2845,70.86,91,17,6.24,light rain
330,Japura,ID,-0.3167,102.35,78.3,84,100,3.04,overcast clouds
